draw_number,date,day_of_week,num1,num2,num3,num4,num5,num6,additional_number,group1_prize,group1_winners,is_synthetic
3109,2015-11-12,Thursday,8,10,11,12,33,41,1,0,0,False
3110,2015-11-16,Monday,3,5,18,41,46,48,40,0,0,False
3111,2015-11-19,Thursday,1,14,19,37,40,47,9,0,0,False
3112,2015-11-23,Monday,5,31,36,39,44,46,43,0,0,False
3113,2015-11-26,Thursday,2,24,34,43,44,46,28,0,0,False
3114,2015-11-30,Monday,11,31,35,37,44,46,42,0,0,False
3115,2015-12-03,Thursday,17,20,34,37,43,48,32,0,0,False
3116,2015-12-07,Monday,5,24,26,36,44,49,19,0,0,False
3117,2015-12-10,Thursday,4,8,11,39,44,46,29,0,0,False
3118,2015-12-14,Monday,6,21,25,29,33,40,31,0,0,False
3119,2015-12-17,Thursday,2,12,17,19,20,33,27,0,0,False
3120,2015-12-21,Monday,11,14,18,22,35,43,28,0,0,False
3121,2015-12-24,Thursday,10,20,21,27,33,46,37,0,0,False
3122,2015-12-28,Monday,7,15,16,17,35,47,41,0,0,False
3123,2015-12-31,Thursday,9,21,23,35,38,41,36,0,0,False
3124,2016-01-04,Monday,3,9,18,28,31,46,32,0,0,False
3125,2016-01-07,Thursday,3,5,6,20,21,45,33,0,0,False
3126,2016-01-11,Monday,13,20,22,29,36,37,33,0,0,False
3127,2016-01-14,Thursday,1,2,4,7,28,41,18,0,0,False
3128,2016-01-18,Monday,4,11,40,43,48,49,17,0,0,False
3129,2016-01-21,Thursday,2,11,23,24,33,44,28,0,0,False
3130,2016-01-25,Monday,16,17,19,35,40,48,37,0,0,False
3131,2016-01-28,Thursday,4,20,22,40,41,48,21,0,0,False
3132,2016-02-01,Monday,9,10,11,22,23,32,6,0,0,False
3133,2016-02-04,Thursday,2,21,26,34,39,49,3,0,0,False
3134,2016-02-08,Monday,13,14,16,21,24,42,7,0,0,False
3135,2016-02-11,Thursday,7,8,17,39,46,49,13,0,0,False
3136,2016-02-15,Monday,3,5,29,40,43,49,21,0,0,False
3137,2016-02-19,Friday,16,18,20,21,27,49,23,0,0,False
3138,2016-02-22,Monday,10,18,22,37,39,40,46,0,0,False
3139,2016-02-25,Thursday,7,14,17,23,35,49,31,0,0,False
3140,2016-02-29,Monday,8,11,15,17,28,47,18,0,0,False
3141,2016-03-03,Thursday,6,14,24,33,38,41,25,0,0,False
3142,2016-03-07,Monday,9,18,30,33,45,47,25,0,0,False
3143,2016-03-10,Thursday,25,29,32,33,34,49,13,0,0,False
3144,2016-03-14,Monday,8,10,24,29,31,33,4,0,0,False
3145,2016-03-17,Thursday,2,3,20,21,30,33,12,0,0,False
3146,2016-03-21,Monday,8,12,20,39,43,47,9,0,0,False
3147,2016-03-24,Thursday,4,9,28,35,38,44,36,0,0,False
3148,2016-03-28,Monday,8,9,15,28,36,39,33,0,0,False
3149,2016-03-31,Thursday,20,21,22,31,39,46,32,0,0,False
3150,2016-04-04,Monday,10,15,22,28,34,38,12,0,0,False
3151,2016-04-07,Thursday,1,7,30,32,38,46,23,0,0,False
3152,2016-04-11,Monday,9,13,16,18,48,49,42,0,0,False
3153,2016-04-14,Thursday,3,4,19,26,28,34,30,0,0,False
3154,2016-04-18,Monday,11,14,21,28,30,39,49,0,0,False
3155,2016-04-21,Thursday,13,14,19,32,33,48,42,0,0,False
3156,2016-04-25,Monday,1,3,4,22,37,41,31,0,0,False
3157,2016-04-28,Thursday,3,20,26,31,34,40,30,0,0,False
3158,2016-05-02,Monday,6,7,8,9,14,19,48,0,0,False
3159,2016-05-05,Thursday,9,20,23,46,48,49,42,0,0,False
3160,2016-05-09,Monday,1,12,26,29,39,49,42,0,0,False
3161,2016-05-12,Thursday,1,4,23,40,46,48,34,0,0,False
3162,2016-05-16,Monday,1,10,24,26,36,47,4,0,0,False
3163,2016-05-19,Thursday,2,17,19,23,32,49,33,0,0,False
3164,2016-05-23,Monday,7,12,20,24,30,31,43,0,0,False
3165,2016-05-26,Thursday,7,15,19,31,32,40,47,0,0,False
3166,2016-05-30,Monday,8,12,24,33,35,39,22,0,0,False
3167,2016-06-02,Thursday,1,15,23,25,33,42,44,0,0,False
3168,2016-06-06,Monday,2,7,12,19,29,36,20,0,0,False
3169,2016-06-09,Thursday,12,21,27,28,35,43,47,0,0,False
3170,2016-06-13,Monday,6,18,22,24,26,30,36,0,0,False
3171,2016-06-16,Thursday,5,11,30,36,44,46,16,0,0,False
3172,2016-06-20,Monday,4,6,14,18,19,35,42,0,0,False
3173,2016-06-23,Thursday,1,3,5,8,20,44,22,0,0,False
3174,2016-06-27,Monday,1,12,13,14,38,40,34,0,0,False
3175,2016-06-30,Thursday,11,12,15,16,21,32,47,0,0,False
3176,2016-07-04,Monday,11,18,26,27,34,46,22,0,0,False
3177,2016-07-07,Thursday,4,6,13,15,21,30,49,0,0,False
3178,2016-07-11,Monday,7,21,22,30,35,39,19,0,0,False
3179,2016-07-14,Thursday,2,11,14,16,31,44,19,0,0,False
3180,2016-07-18,Monday,8,11,22,35,36,46,43,0,0,False
3181,2016-07-21,Thursday,2,14,18,27,31,44,26,0,0,False
3182,2016-07-25,Monday,6,26,38,40,44,49,16,0,0,False
